"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Ptyonoprogne rupestris/concolor",23609,"slash","y00422","Eurasian/Dusky Crag-Martin","Passeriformes","Hirundinidae",NA,"Eurasian/Dusky Crag-Martin"
"Iole crypta/viridescens",24152,"slash","y00423","Olive/Buff-vented Bulbul","Passeriformes","Pycnonotidae",NA,"Olive/Buff-vented Bulbul"
"Zosterops simplex/japonicus",25090,"slash","y00424","Swinhoe's/Warbling White-eye","Passeriformes","Zosteropidae",NA,"Swinhoe's/Warbling White-eye"
"Corthylio calendula/Regulus satrapa",26281,"slash","y00425","Ruby-crowned/Golden-crowned Kinglet","Passeriformes","Regulidae",NA,"Ruby-crowned/Golden-crowned Kinglet"
"Catharus occidentalis/frantzii",27708,"slash","y00426","Russet/Ruddy-capped Nightingale-Thrush","Passeriformes","Turdidae",NA,"Russet/Ruddy-capped Nightingale-Thrush"
"Saxicola maurus/stejnegeri",29056,"slash","y00427","Siberian/Amur Stonechat","Passeriformes","Muscicapidae",NA,"דוחל מזרחי/כתום-שת"
"Bombycilla garrulus/japonica",29259,"slash","y00428","Bohemian/Japanese Waxwing","Passeriformes","Bombycillidae",NA,"Bohemian/Japanese Waxwing"
"Motacilla tschutschensis/citreola",31063,"slash","y00429","Eastern Yellow/Citrine Wagtail","Passeriformes","Motacillidae",NA,"Eastern Yellow/Citrine Wagtail"
"Pyrrhula owstoni/erythaca",31589,"slash","y00430","Taiwan/Gray-headed Bullfinch","Passeriformes","Fringillidae",NA,"Taiwan/Gray-headed Bullfinch"
"Emberiza hortulana/caesia",32079,"slash","y00431","Ortolan/Cretzschmar's Bunting","Passeriformes","Emberizidae",NA,"Ortolan/Cretzschmar's Bunting"
"Spizella passerina/Helmitheros vermivorum",33274,"slash","y00432","Chipping Sparrow/Worm-eating Warbler","Passeriformes",NA,NA,"Chipping Sparrow/Worm-eating Warbler"
"Junco hyemalis/Setophaga pinus",33468,"slash","y00433","Dark-eyed Junco/Pine Warbler","Passeriformes",NA,NA,"Dark-eyed Junco/Pine Warbler"
