"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Heliangelus strophianus",4358,"species","gorsun1","Gorgeted Sunangel","Apodiformes","Trochilidae",NA,"Gorgeted Sunangel"
"Bangsia aureocincta",34545,"species","gortan1","Gold-ringed Tanager","Passeriformes","Thraupidae",NA,"Gold-ringed Tanager"
"Chaetocercus heliodor",4729,"species","gorwoo2","Gorgeted Woodstar","Apodiformes","Trochilidae",NA,"Gorgeted Woodstar"
"Apalis goslingi",22888,"species","gosapa1","Gosling's Apalis","Passeriformes","Cisticolidae",NA,"Gosling's Apalis"
"Emberiza goslingi",32504,"species","gosbun1","Gosling's Bunting","Passeriformes","Emberizidae",NA,"Gosling's Bunting"
"Euphonia cayennensis",31789,"species","goseup1","Golden-sided Euphonia","Passeriformes","Fringillidae",NA,"Golden-sided Euphonia"
"Psephotellus chrysopterygius",12401,"species","gospar1","Golden-shouldered Parrot","Psittaciformes","Psittaculidae",NA,"Golden-shouldered Parrot"
"Picumnus exilis",10923,"species","gospic1","Golden-spangled Piculet","Piciformes","Picidae",NA,"Golden-spangled Piculet"
"Picumnus squamulatus obsoletus",10938,"issf","gospic3","Scaled Piculet (Black-dotted)","Piciformes","Picidae","scapic1","Scaled Piculet (Black-dotted)"
"Picumnus exilis undulatus",10924,"issf","gospic4","Golden-spangled Piculet (Undulated)","Piciformes","Picidae","gospic1","Golden-spangled Piculet (Undulated)"
"Picumnus exilis buffonii",10925,"issf","gospic5","Golden-spangled Piculet (Buffon's)","Piciformes","Picidae","gospic1","Golden-spangled Piculet (Buffon's)"
"Picumnus exilis pernambucensis",10926,"issf","gospic6","Golden-spangled Piculet (Pernambuco)","Piciformes","Picidae","gospic1","Golden-spangled Piculet (Pernambuco)"
"Picumnus exilis exilis",10927,"issf","gospic7","Golden-spangled Piculet (Bahia)","Piciformes","Picidae","gospic1","Golden-spangled Piculet (Bahia)"
"Phylloscopus burkii",24675,"species","goswar1","Green-crowned Warbler","Passeriformes","Phylloscopidae",NA,"Green-crowned Warbler"
"Psilopogon franklinii",10649,"species","gotbar2","Golden-throated Barbet","Piciformes","Megalaimidae",NA,"Golden-throated Barbet"
"Psilopogon auricularis",10652,"species","gotbar3","Necklaced Barbet","Piciformes","Megalaimidae",NA,"Necklaced Barbet"
"Psilopogon franklinii franklinii",10650,"issf","gotbar4","Golden-throated Barbet (Himalayan)","Piciformes","Megalaimidae","gotbar2","Golden-throated Barbet (Himalayan)"
"Psilopogon franklinii ramsayi",10651,"issf","gotbar5","Golden-throated Barbet (Malayan)","Piciformes","Megalaimidae","gotbar2","Golden-throated Barbet (Malayan)"
"Macroagelaius imthurni",33632,"species","gotgra1","Golden-tufted Grackle","Passeriformes","Icteridae",NA,"Golden-tufted Grackle"
"Touit surdus",12684,"species","gotpar2","Golden-tailed Parrotlet","Psittaciformes","Psittacidae",NA,"Golden-tailed Parrotlet"
"Chrysuronia oenone",5090,"species","gotsap1","Golden-tailed Sapphire","Apodiformes","Trochilidae",NA,"Golden-tailed Sapphire"
"Campethera abingoni",11618,"species","gotwoo1","Golden-tailed Woodpecker","Piciformes","Picidae",NA,"Golden-tailed Woodpecker"
"Campethera abingoni chrysura",11619,"issf","gotwoo2","Golden-tailed Woodpecker (Streak-backed)","Piciformes","Picidae","gotwoo1","Golden-tailed Woodpecker (Streak-backed)"
"Campethera abingoni [abingoni Group]",11620,"issf","gotwoo3","Golden-tailed Woodpecker (Golden-tailed)","Piciformes","Picidae","gotwoo1","Golden-tailed Woodpecker (Golden-tailed)"
"Chloebia gouldiae",30903,"species","goufin3","Gouldian Finch","Passeriformes","Estrildidae",NA,"Gouldian Finch"
"Batrachostomus stellatus",3734,"species","goufro1","Gould's Frogmouth","Podargiformes","Podargidae",NA,"Gould's Frogmouth"
"Heliodoxa aurescens",4646,"species","goujew1","Gould's Jewelfront","Apodiformes","Trochilidae",NA,"Gould's Jewelfront"
"Pterodroma leucoptera",7068,"species","goupet1","Gould's Petrel","Procellariiformes","Procellariidae",NA,"Gould's Petrel"
"Pterodroma leucoptera leucoptera",7069,"issf","goupet2","Gould's Petrel (Gould's)","Procellariiformes","Procellariidae","goupet1","Gould's Petrel (Gould's)"
"Pterodroma leucoptera caledonica",7070,"issf","goupet3","Gould's Petrel (New Caledonian)","Procellariiformes","Procellariidae","goupet1","Gould's Petrel (New Caledonian)"
"Pterodroma brevipes brevipes",7072,"issf","goupet4","Collared Petrel (Collared)","Procellariiformes","Procellariidae","colpet1","Collared Petrel (Collared)"
"Pterodroma brevipes magnificens",7073,"issf","goupet5","Collared Petrel (Magnificent)","Procellariiformes","Procellariidae","colpet1","Collared Petrel (Magnificent)"
"Heteroxenicus stellatus",29108,"species","gousho1","Gould's Shortwing","Passeriformes","Muscicapidae",NA,"Gould's Shortwing"
"Aethopyga gouldiae",30247,"species","gousun1","Mrs. Gould's Sunbird","Passeriformes","Nectariniidae",NA,"Mrs. Gould's Sunbird"
"Aethopyga gouldiae annamensis",30252,"issf","gousun2","Mrs. Gould's Sunbird (Purple-rumped)","Passeriformes","Nectariniidae","gousun1","Mrs. Gould's Sunbird (Purple-rumped)"
"Aethopyga gouldiae dabryii",30251,"issf","gousun3","Mrs. Gould's Sunbird (Scarlet-breasted)","Passeriformes","Nectariniidae","gousun1","Mrs. Gould's Sunbird (Scarlet-breasted)"
"Aethopyga gouldiae gouldiae/isolata",30248,"issf","gousun4","Mrs. Gould's Sunbird (Yellow-breasted)","Passeriformes","Nectariniidae","gousun1","Mrs. Gould's Sunbird (Yellow-breasted)"
"Selenidera gouldii",10811,"species","goutou1","Gould's Toucanet","Piciformes","Ramphastidae",NA,"Gould's Toucanet"
"Psilopogon chrysopogon chrysopogon/laetus",10657,"issf","gowbar1","Gold-whiskered Barbet (Gold-whiskered)","Piciformes","Megalaimidae","gowbar2","Gold-whiskered Barbet (Gold-whiskered)"
"Psilopogon chrysopogon",10656,"species","gowbar2","Gold-whiskered Barbet","Piciformes","Megalaimidae",NA,"Gold-whiskered Barbet"
"Cacicus chrysopterus",33364,"species","gowcac1","Golden-winged Cacique","Passeriformes","Icteridae",NA,"Golden-winged Cacique"
"Cleptornis marchei",25327,"species","goweye1","Golden White-eye","Passeriformes","Zosteropidae",NA,"Golden White-eye"
"Rhynchostruthus percivali",32057,"species","gowgro2","Arabian Grosbeak","Passeriformes","Fringillidae",NA,"עב-מקור ערבי"
"Rhynchostruthus socotranus",32058,"species","gowgro3","Socotra Grosbeak","Passeriformes","Fringillidae",NA,"עב-מקור סוקוטרה"
"Trochalopteron ngoclinhense",26244,"species","gowlau1","Golden-winged Laughingthrush","Passeriformes","Leiothrichidae",NA,"Golden-winged Laughingthrush"
"Masius chrysopterus",15548,"species","gowman1","Golden-winged Manakin","Passeriformes","Pipridae",NA,"Golden-winged Manakin"
"Brotogeris chrysoptera",12725,"species","gowpar2","Golden-winged Parakeet","Psittaciformes","Psittacidae",NA,"Golden-winged Parakeet"
"Odontophorus strophium",1134,"species","gowqua1","Gorgeted Wood-Quail","Galliformes","Odontophoridae",NA,"Gorgeted Wood-Quail"
"Arremon schlegeli",32781,"species","gowspa1","Golden-winged Sparrow","Passeriformes","Passerellidae",NA,"Golden-winged Sparrow"
"Drepanorhynchus reichenowi",30068,"species","gowsun2","Golden-winged Sunbird","Passeriformes","Nectariniidae",NA,"Golden-winged Sunbird"
"Poecilotriccus calopterus",16253,"species","gowtof1","Golden-winged Tody-Flycatcher","Passeriformes","Tyrannidae",NA,"Golden-winged Tody-Flycatcher"
"Vermivora chrysoptera",33679,"species","gowwar","Golden-winged Warbler","Passeriformes","Parulidae",NA,"סבכון זהוב-כנף"
"Spermophaga poliogenys",31096,"species","grablu1","Grant's Bluebill","Passeriformes","Estrildidae",NA,"Grant's Bluebill"
"Pseudocalyptomena graueri",13129,"species","grabro1","Grauer's Broadbill","Passeriformes","Eurylaimidae",NA,"Grauer's Broadbill"
"Melopyrrha violacea",35415,"species","grabul1","Greater Antillean Bullfinch","Passeriformes","Thraupidae",NA,"Greater Antillean Bullfinch"
"Butastur rufipennis",8289,"species","grabuz1","Grasshopper Buzzard","Accipitriformes","Accipitridae",NA,"Grasshopper Buzzard"
"Quiscalus sp.",33622,"spuh","grackl","grackle sp.","Passeriformes","Icteridae",NA,"grackle sp."
"Ceblepyris graueri",18455,"species","gracus1","Grauer's Cuckooshrike","Passeriformes","Campephagidae",NA,"Grauer's Cuckooshrike"
"Bubo cinerascens",8830,"species","graeao1","Grayish Eagle-Owl","Strigiformes","Strigidae",NA,"Grayish Eagle-Owl"
"Elaenia fallax",16575,"species","graela1","Greater Antillean Elaenia","Passeriformes","Tyrannidae",NA,"Greater Antillean Elaenia"
"Elaenia fallax fallax",16576,"issf","graela3","Greater Antillean Elaenia (Jamaican)","Passeriformes","Tyrannidae","graela1","Greater Antillean Elaenia (Jamaican)"
"Elaenia fallax cherriei",16577,"issf","graela4","Greater Antillean Elaenia (Hispaniolan)","Passeriformes","Tyrannidae","graela1","Greater Antillean Elaenia (Hispaniolan)"
"Bradornis microrhynchus [microrhynchus Group]",28591,"issf","grafly1","African Gray Flycatcher (African Gray)","Passeriformes","Muscicapidae","afgfly1","African Gray Flycatcher (African Gray)"
"Bradornis microrhynchus pumilus",28590,"issf","grafly2","African Gray Flycatcher (Ethiopian)","Passeriformes","Muscicapidae","afgfly1","African Gray Flycatcher (Ethiopian)"
"Anser anser",264,"species","gragoo","Graylag Goose","Anseriformes","Anatidae",NA,"אווז אפור"
"Anser anser (Domestic type)",267,"domestic","gragoo1","Graylag Goose (Domestic type)","Anseriformes","Anatidae","gragoo","אווז אפור (מבוית)"
"Anser anser anser",265,"issf","gragoo2","Graylag Goose (European)","Anseriformes","Anatidae","gragoo","אווז אפור (אירופי)"
"Anser anser rubrirostris",266,"issf","gragoo3","Graylag Goose (Siberian)","Anseriformes","Anatidae","gragoo","אווז אפור (סיבירי)"
"Quiscalus niger",33604,"species","gragra1","Greater Antillean Grackle","Passeriformes","Icteridae",NA,"Greater Antillean Grackle"
"Ardea cinerea",7651,"species","graher1","Gray Heron","Pelecaniformes","Ardeidae",NA,"אנפה אפורה"
"Meliphaga gracilis/cinereifrons",17600,"slash","grahon1","Graceful/Elegant Honeyeater","Passeriformes","Meliphagidae",NA,"Graceful/Elegant Honeyeater"
"Meliphaga gracilis",17595,"species","grahon2","Graceful Honeyeater","Passeriformes","Meliphagidae",NA,"Graceful Honeyeater"
"Meliphaga cinereifrons",17597,"species","grahon3","Elegant Honeyeater","Passeriformes","Meliphagidae",NA,"Elegant Honeyeater"
"Meliphaga imitatrix",17596,"species","grahon5","Cryptic Honeyeater","Passeriformes","Meliphagidae",NA,"Cryptic Honeyeater"
"Ammomanopsis grayi",22121,"species","gralar2","Gray's Lark","Passeriformes","Alaudidae",NA,"Gray's Lark"
"Grallaria sp.",14153,"spuh","gralla1","Grallaria sp.","Passeriformes","Grallariidae",NA,"Grallaria sp."
"Malimbus nitens",30466,"species","gramal1","Blue-billed Malimbe","Passeriformes","Ploceidae",NA,"Blue-billed Malimbe"
"Geositta maritima",14454,"species","gramin1","Grayish Miner","Passeriformes","Furnariidae",NA,"Grayish Miner"
"Rhytipterna simplex",17107,"species","gramou1","Grayish Mourner","Passeriformes","Tyrannidae",NA,"Grayish Mourner"
"Lonchura grandis",30863,"species","gramun1","Grand Munia","Passeriformes","Estrildidae",NA,"Grand Munia"
"Grandala coelicolor",27880,"species","granda1","Grandala","Passeriformes","Turdidae",NA,"Grandala"
"Caprimulgus indicus/jotaka",3584,"slash","granig","Jungle/Gray Nightjar","Caprimulgiformes","Caprimulgidae",NA,"Jungle/Gray Nightjar"
"Antrostomus cubanensis",3549,"species","granig2","Cuban Nightjar","Caprimulgiformes","Caprimulgidae",NA,"Cuban Nightjar"
"Antrostomus ekmani",3552,"species","granig3","Hispaniolan Nightjar","Caprimulgiformes","Caprimulgidae",NA,"Hispaniolan Nightjar"
"Icterus dominicensis",33387,"species","graori1","Hispaniolan Oriole","Passeriformes","Icteridae",NA,"Hispaniolan Oriole"
"Icterus melanopsis",33388,"species","graori2","Cuban Oriole","Passeriformes","Icteridae",NA,"Cuban Oriole"
"Icterus northropi",33389,"species","graori3","Bahama Oriole","Passeriformes","Icteridae",NA,"Bahama Oriole"
"Icterus portoricensis",33390,"species","graori4","Puerto Rican Oriole","Passeriformes","Icteridae",NA,"Puerto Rican Oriole"
"Procellaria cinerea",7112,"species","grapet","Gray Petrel","Procellariiformes","Procellariidae",NA,"Gray Petrel"
"Picumnus granadensis",10987,"species","grapic1","Grayish Piculet","Piciformes","Picidae",NA,"Grayish Piculet"
"Prinia gracilis",23017,"species","grapri1","Graceful Prinia","Passeriformes","Cisticolidae",NA,"פשוש"
"Saltator olivascens/coerulescens",35529,"slash","grasal1","Olive-gray/Bluish-gray Saltator","Passeriformes","Thraupidae",NA,"Olive-gray/Bluish-gray Saltator"
"Saltator grandis",35517,"species","grasal2","Cinnamon-bellied Saltator","Passeriformes","Thraupidae",NA,"Cinnamon-bellied Saltator"
"Saltator coerulescens",35524,"species","grasal3","Bluish-gray Saltator","Passeriformes","Thraupidae",NA,"Bluish-gray Saltator"
"Saltator olivascens",35513,"species","grasal4","Olive-gray Saltator","Passeriformes","Thraupidae",NA,"Olive-gray Saltator"
"Ammodramus savannarum",32661,"species","graspa","Grasshopper Sparrow","Passeriformes","Passerellidae",NA,"Grasshopper Sparrow"
"Ammodramus humeralis",32673,"species","graspa1","Grassland Sparrow","Passeriformes","Passerellidae",NA,"Grassland Sparrow"
"Toxostoma cinereum",27809,"species","grathr1","Gray Thrasher","Passeriformes","Mimidae",NA,"Gray Thrasher"
"Cinclocerthia gutturalis",27778,"species","gratre1","Gray Trembler","Passeriformes","Mimidae",NA,"Gray Trembler"
"Setophaga graciae",33904,"species","grawar","Grace's Warbler","Passeriformes","Parulidae",NA,"Grace's Warbler"
"Graueria vittata",23386,"species","grawar1","Grauer's Warbler","Passeriformes","Acrocephalidae",NA,"Grauer's Warbler"
"Sicalis luteola [chrysops Group]",35195,"issf","grayef1","Grassland Yellow-Finch (Northern)","Passeriformes","Thraupidae","gryfin1","Grassland Yellow-Finch (Northern)"
"Sicalis luteola bogotensis",35199,"issf","grayef2","Grassland Yellow-Finch (Montane)","Passeriformes","Thraupidae","gryfin1","Grassland Yellow-Finch (Montane)"
"Sicalis luteola [luteola Group]",35200,"issf","grayef3","Grassland Yellow-Finch (Grassland)","Passeriformes","Thraupidae","gryfin1","Grassland Yellow-Finch (Grassland)"
"Crotophaga sulcirostris",2985,"species","grbani","Groove-billed Ani","Cuculiformes","Cuculidae",NA,"Groove-billed Ani"
"Pachyramphus viridis",15860,"species","grbbec1","Green-backed Becard","Passeriformes","Tityridae",NA,"Green-backed Becard"
"Malaconotus gladiator",19971,"species","grbbus1","Green-breasted Bushshrike","Passeriformes","Malaconotidae",NA,"Green-breasted Bushshrike"
"Camaroptera brachyura",22790,"species","grbcam1","Green-backed Camaroptera","Passeriformes","Cisticolidae",NA,"Green-backed Camaroptera"
"Centropus menbeki",3037,"species","grbcou1","Greater Black Coucal","Cuculiformes","Cuculidae",NA,"Greater Black Coucal"
"Centropus chlororhynchos",3042,"species","grbcou2","Green-billed Coucal","Cuculiformes","Cuculidae",NA,"Green-billed Coucal"
"Laterallus exilis",5592,"species","grbcra1","Gray-breasted Crake","Gruiformes","Rallidae",NA,"Gray-breasted Crake"
"Eremomela canescens",22721,"species","grbere1","Green-backed Eremomela","Passeriformes","Cisticolidae",NA,"Green-backed Eremomela"
"Sephanoides sephaniodes",4373,"species","grbfir1","Green-backed Firecrown","Apodiformes","Trochilidae",NA,"Green-backed Firecrown"
"Buteogallus urubitinga",8325,"species","grbhaw1","Great Black Hawk","Accipitriformes","Accipitridae",NA,"Great Black Hawk"
"Buteogallus urubitinga ridgwayi",8326,"issf","grbhaw2","Great Black Hawk (Northern)","Accipitriformes","Accipitridae","grbhaw1","Great Black Hawk (Northern)"
"Buteogallus urubitinga urubitinga",8327,"issf","grbhaw3","Great Black Hawk (Southern)","Accipitriformes","Accipitridae","grbhaw1","Great Black Hawk (Southern)"
"Ardea herodias [herodias Group]",7659,"issf","grbher","Great Blue Heron (Great Blue)","Pelecaniformes","Ardeidae","grbher3","Great Blue Heron (Great Blue)"
"Phaethornis malaris",4231,"species","grbher1","Great-billed Hermit","Apodiformes","Trochilidae",NA,"Great-billed Hermit"
"Ardea sumatrana",7681,"species","grbher2","Great-billed Heron","Pelecaniformes","Ardeidae",NA,"Great-billed Heron"
"Ardea herodias",7658,"species","grbher3","Great Blue Heron","Pelecaniformes","Ardeidae",NA,"אנפה אמריקנית"
"Phaethornis malaris margarettae",4239,"issf","grbher4","Great-billed Hermit (Margaretta's)","Apodiformes","Trochilidae","grbher1","Great-billed Hermit (Margaretta's)"
"Phaethornis malaris [moorei Group]",4235,"issf","grbher5","Great-billed Hermit (Amazonian)","Apodiformes","Trochilidae","grbher1","Great-billed Hermit (Amazonian)"
"Phaethornis malaris malaris/insolitus",4232,"issf","grbher6","Great-billed Hermit (Great-billed)","Apodiformes","Trochilidae","grbher1","Great-billed Hermit (Great-billed)"
"Glycichaera fallax",17870,"species","grbhon1","Green-backed Honeyeater","Passeriformes","Meliphagidae",NA,"Green-backed Honeyeater"
"Prodotiscus zambesiae",10847,"species","grbhon2","Green-backed Honeybird","Piciformes","Indicatoridae",NA,"Green-backed Honeybird"
"Saucerottia viridigaster",5025,"species","grbhum1","Green-bellied Hummingbird","Apodiformes","Trochilidae",NA,"Green-bellied Hummingbird"
"Actenoides monachus",10143,"species","grbkin1","Green-backed Kingfisher","Coraciiformes","Alcedinidae",NA,"Green-backed Kingfisher"
"Phaenicophaeus tristis",3138,"species","grbmal1","Green-billed Malkoha","Cuculiformes","Cuculidae",NA,"Green-billed Malkoha"
"Tanygnathus megalorynchos",12295,"species","grbpar1","Great-billed Parrot","Psittaciformes","Psittaculidae",NA,"Great-billed Parrot"
"Pitta reichenowi",13257,"species","grbpit1","Green-breasted Pitta","Passeriformes","Pittidae",NA,"Green-breasted Pitta"
"Pachycephalopsis hattamensis",21497,"species","grbrob1","Green-backed Robin","Passeriformes","Petroicidae",NA,"Green-backed Robin"
"Arremonops chloronotus",32696,"species","grbspa1","Green-backed Sparrow","Passeriformes","Passerellidae",NA,"Green-backed Sparrow"
"Parus monticolus",21946,"species","grbtit1","Green-backed Tit","Passeriformes","Paridae",NA,"Green-backed Tit"
"Aulacorhynchus sulcatus",10748,"species","grbtou1","Groove-billed Toucanet","Piciformes","Ramphastidae",NA,"Groove-billed Toucanet"
"Aulacorhynchus sulcatus calorhynchus",10749,"issf","grbtou2","Groove-billed Toucanet (Yellow-billed)","Piciformes","Ramphastidae","grbtou1","Groove-billed Toucanet (Yellow-billed)"
"Aulacorhynchus sulcatus sulcatus/erythrognathus",10750,"issf","grbtou3","Groove-billed Toucanet (Groove-billed)","Piciformes","Ramphastidae","grbtou1","Groove-billed Toucanet (Groove-billed)"
"Corythaeola cristata",2927,"species","grbtur1","Great Blue Turaco","Musophagiformes","Musophagidae",NA,"Great Blue Turaco"
"Mandingoa nitidula",30954,"species","grbtwi1","Green-backed Twinspot","Passeriformes","Estrildidae",NA,"Green-backed Twinspot"
"Pachycephala albiventris",19304,"species","grbwhi1","Green-backed Whistler","Passeriformes","Pachycephalidae",NA,"Green-backed Whistler"
"Melanerpes hypopolius",11056,"species","grbwoo1","Gray-breasted Woodpecker","Piciformes","Picidae",NA,"Gray-breasted Woodpecker"
"Campethera maculosa",11600,"species","grbwoo2","Green-backed Woodpecker","Piciformes","Picidae",NA,"Green-backed Woodpecker"
"Colaptes melanochloros",11777,"species","grbwoo3","Green-barred Woodpecker","Piciformes","Picidae",NA,"Green-barred Woodpecker"
"Campylorhynchus megalopterus",27154,"species","grbwre1","Gray-barred Wren","Passeriformes","Troglodytidae",NA,"Gray-barred Wren"
"Pachyramphus major",15899,"species","grcbec1","Gray-collared Becard","Passeriformes","Tityridae",NA,"Gray-collared Becard"
"Heliodoxa jacula",4651,"species","grcbri1","Green-crowned Brilliant","Apodiformes","Trochilidae",NA,"Green-crowned Brilliant"
"Balearica regulorum",5633,"species","grccra1","Gray Crowned-Crane","Gruiformes","Gruidae",NA,"Gray Crowned-Crane"
"Leptotila cassinii",2308,"species","grcdov1","Gray-chested Dove","Columbiformes","Columbidae",NA,"Gray-chested Dove"
"Reinwardtoena reinwardti",2105,"species","grcdov2","Great Cuckoo-Dove","Columbiformes","Columbidae",NA,"Great Cuckoo-Dove"
"Myiarchus crinitus",17165,"species","grcfly","Great Crested Flycatcher","Passeriformes","Tyrannidae",NA,"Great Crested Flycatcher"
"Myiozetetes granadensis",17234,"species","grcfly1","Gray-capped Flycatcher","Passeriformes","Tyrannidae",NA,"Gray-capped Flycatcher"
"Humblotia flavirostris",28675,"species","grcfly3","Grande Comore Flycatcher","Passeriformes","Muscicapidae",NA,"Grande Comore Flycatcher"
"Podiceps cristatus",6793,"species","grcgre1","Great Crested Grebe","Podicipediformes","Podicipedidae",NA,"טבלן מצויץ"
"Stilpnia meyerdeschauenseei",34718,"species","grctan1","Green-capped Tanager","Passeriformes","Thraupidae",NA,"Green-capped Tanager"
"Thalasseus bergii",6717,"species","grcter1","Great Crested Tern","Charadriiformes","Laridae",NA,"שחפית צהובת-מקור"
"Turdus ravidus",28341,"species","grcthr1","Grand Cayman Thrush","Passeriformes","Turdidae",NA,"Grand Cayman Thrush"
"Colaptes auricularis",11758,"species","grcwoo1","Gray-crowned Woodpecker","Piciformes","Picidae",NA,"Gray-crowned Woodpecker"
"Thalurania colombica (Green-crowned Woodnymph)",4926,"form","grcwoo2","Crowned Woodnymph (Green-crowned/Emerald-bellied)","Apodiformes","Trochilidae","crowoo1","Crowned Woodnymph (Green-crowned/Emerald-bellied)"
"Cypseloides senex",3783,"species","grdswi1","Great Dusky Swift","Apodiformes","Apodidae",NA,"Great Dusky Swift"
"Leptoptilos dubius",7222,"species","greadj1","Greater Adjutant","Ciconiiformes","Ciconiidae",NA,"Greater Adjutant"
"Akialoa ellisiana",31855,"species","greaki2","Oahu Akialoa","Passeriformes","Fringillidae",NA,"Oahu Akialoa"
"Akialoa lanaiensis",31857,"species","greaki3","Maui-nui Akialoa","Passeriformes","Fringillidae",NA,"Maui-nui Akialoa"
"Akialoa stejnegeri",31856,"species","greaki4","Kauai Akialoa","Passeriformes","Fringillidae",NA,"Kauai Akialoa"
"Viridonia sagittirostris",31864,"species","greama","Greater Amakihi","Passeriformes","Fringillidae",NA,"Greater Amakihi"
"Crotophaga major",2983,"species","greani1","Greater Ani","Cuculiformes","Cuculidae",NA,"Greater Ani"
"Taraba major",13339,"species","greant1","Great Antshrike","Passeriformes","Thamnophilidae",NA,"Great Antshrike"
"Grallaria excelsa",14059,"species","greant2","Great Antpitta","Passeriformes","Grallariidae",NA,"Great Antpitta"
"Pteroglossus viridis",10774,"species","greara1","Green Aracari","Piciformes","Ramphastidae",NA,"Green Aracari"
"Argusianus argus",1535,"species","grearg1","Great Argus","Galliformes","Phasianidae",NA,"Great Argus"
"Pinguinus impennis",6350,"species","greauk","Great Auk","Charadriiformes","Alcidae",NA,"Great Auk"
"Psilopogon virens",10614,"species","grebar1","Great Barbet","Piciformes","Megalaimidae",NA,"Great Barbet"
"Cryptolybia olivacea",10445,"species","grebar2","Green Barbet","Piciformes","Lybiidae",NA,"Green Barbet"
"Psilopogon faiostrictus",10634,"species","grebar3","Green-eared Barbet","Piciformes","Megalaimidae",NA,"Green-eared Barbet"
"Podicipedidae sp.",6817,"spuh","grebe1","grebe sp.","Podicipediformes","Podicipedidae",NA,"טבלן בלתי-מזוהה"
"Botaurus stellaris",7469,"species","grebit1","Eurasian Bittern","Pelecaniformes","Ardeidae",NA,"אנפה משורטטת"
"Chlamydera nuchalis",17389,"species","grebow1","Great Bowerbird","Passeriformes","Ptilonorhynchidae",NA,"Great Bowerbird"
"Calyptomena viridis",13122,"species","grebro1","Green Broadbill","Passeriformes","Calyptomenidae",NA,"Green Broadbill"
"Otis tarda",2868,"species","grebus1","Great Bustard","Otidiformes","Otididae",NA,"חובה גדולה"
"Ailuroedus crassirostris",17360,"species","grecat1","Green Catbird","Passeriformes","Ptilonorhynchidae",NA,"Green Catbird"
"Cochoa viridis",27999,"species","grecoc1","Green Cochoa","Passeriformes","Turdidae",NA,"Green Cochoa"
"Phalacrocorax carbo",7313,"species","grecor","Great Cormorant","Suliformes","Phalacrocoracidae",NA,"קורמורן גדול"
"Phalacrocorax carbo carbo",7315,"issf","grecor1","Great Cormorant (North Atlantic)","Suliformes","Phalacrocoracidae","grecor","קורמורן גדול (צפון אטלנטי)"
"Phalacrocorax carbo novaehollandiae",7316,"issf","grecor2","Great Cormorant (Australasian)","Suliformes","Phalacrocoracidae","grecor","קורמורן גדול (אוסטרלי)"
"Phalacrocorax carbo sinensis/hanedae",7317,"issf","grecor3","Great Cormorant (Eurasian)","Suliformes","Phalacrocoracidae","grecor","קורמורן גדול (אירואסייתי)"
"Phalacrocorax carbo lucidus",7321,"issf","grecor4","Great Cormorant (White-breasted)","Suliformes","Phalacrocoracidae","grecor","קורמורן גדול (לבן-חזה)"
"Phalacrocorax carbo maroccanus",7320,"issf","grecor5","Great Cormorant (Moroccan)","Suliformes","Phalacrocoracidae","grecor","קורמורן גדול (מרוקני)"
"Phalacrocorax carbo carbo/sinensis",7314,"form","grecor6","Great Cormorant (Dark-breasted)","Suliformes","Phalacrocoracidae","grecor","קורמורן גדול (כהה-חזה)"
"Centropus sinensis",3075,"species","grecou1","Greater Coucal","Cuculiformes","Cuculidae",NA,"Greater Coucal"
"Centropus sinensis [sinensis Group]",3076,"issf","grecou2","Greater Coucal (Greater)","Cuculiformes","Cuculidae","grecou1","Greater Coucal (Greater)"
"Centropus sinensis parroti",3082,"issf","grecou3","Greater Coucal (Southern)","Cuculiformes","Cuculidae","grecou1","Greater Coucal (Southern)"
"Sylvietta virens",22622,"species","grecro1","Green Crombec","Passeriformes","Macrosphenidae",NA,"Green Crombec"
"Crax rubra",932,"species","grecur1","Great Curassow","Galliformes","Cracidae",NA,"Great Curassow"
"Leptotila wellsi",2328,"species","gredov1","Grenada Dove","Columbiformes","Columbidae",NA,"Grenada Dove"
"Lyncornis macrotis jacobsoni",3414,"issf","greean3","Great Eared-Nightjar (Simeulue)","Caprimulgiformes","Caprimulgidae","grenig1","Great Eared-Nightjar (Simeulue)"
"Lyncornis macrotis macrotis",3415,"issf","greean4","Great Eared-Nightjar (Philippine)","Caprimulgiformes","Caprimulgidae","grenig1","Great Eared-Nightjar (Philippine)"
"Lyncornis macrotis macropterus",3416,"issf","greean5","Great Eared-Nightjar (Sulawesi)","Caprimulgiformes","Caprimulgidae","grenig1","Great Eared-Nightjar (Sulawesi)"
"Lyncornis macrotis cerviniceps/bourdilloni",3411,"issf","greean6","Great Eared-Nightjar (Great)","Caprimulgiformes","Caprimulgidae","grenig1","Great Eared-Nightjar (Great)"
"Ardea alba",7635,"species","greegr","Great Egret","Pelecaniformes","Ardeidae",NA,"לבנית גדולה"
"Ardea alba alba",7636,"issf","greegr1","Great Egret (alba)","Pelecaniformes","Ardeidae","greegr","לבנית גדולה (מערבית)"
"Ardea alba egretta",7638,"issf","greegr2","Great Egret (American)","Pelecaniformes","Ardeidae","greegr","לבנית גדולה (אמריקנית)"
"Ardea alba modesta",7639,"issf","greegr3","Great Egret (modesta)","Pelecaniformes","Ardeidae","greegr","לבנית גדולה (מזרחית)"
