unit,subunit,SciName,PRIMARY_COM_NAME,HebName,IsBreeding,Column1,Column2
Herbaceous and Dwarf-Shrub Vegetation,NA,Lanius excubitor,Great Gray Shrike,חנקן גדול,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Lanius nubicus,Masked Shrike,חנקן נובי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Lanius senator,Woodchat Shrike,חנקן אדום-ראש,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Linaria cannabina,Eurasian Linnet,תפוחית מצויה,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Locustella luscinioides,Savi's Warbler,חרגולן זמירי,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Lullula arborea,Wood Lark,חוגת עצים,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Luscinia megarhynchos,Common Nightingale,זמיר הירדן,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Melanocorypha calandra,Calandra Lark,עפרוני ענק,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Merops apiaster,European Bee-eater,שרקרק מצוי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Merops cyanophrys,Arabian Green Bee-eater,שרקרק גמדי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Milvus migrans,Black Kite,דיה שחורה,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Monticola solitarius,Blue Rock-Thrush,צוקית בודדת,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Muscicapa striata,Spotted Flycatcher,חטפית אפורה,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Neophron percnopterus,Egyptian Vulture,רחם מדברי,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Oenanthe hispanica/melanoleuca,Western/Eastern Black-eared Wheatear,סלעית קיץ,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Oenanthe melanura,Blackstart,שחור זנב,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Oriolus oriolus,Eurasian Golden Oriole,זהבן מחלל,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Parus major,Great Tit,ירגזי מצוי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Passer domesticus,House Sparrow,דרור הבית,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Passer hispaniolensis,Spanish Sparrow,דרור ספרדי,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Phylloscopus collybita,Common Chiffchaff,עלווית חורף,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Phylloscopus orientalis,Eastern Bonelli's Warbler,עלווית לבנת-בטן,0,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Plegadis falcinellus,Glossy Ibis,מגלן חום,1,?,דוגר באיזור בשטחי בריכות וביצות
Herbaceous and Dwarf-Shrub Vegetation,NA,Prinia gracilis,Graceful Prinia,פשוש,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Psittacula krameri,Rose-ringed Parakeet,דררה,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Pycnonotus xanthopygos,White-spectacled Bulbul,בולבול ממושקף,1,,
Herbaceous and Dwarf-Shrub Vegetation,NA,Spilopelia senegalensis,Laughing Dove,צוצלת,1,,
